class,Age,Fare,Pclass,Sex,SibSp,Parch,Embarked
1,13,12,1,1,1,1,0
0,10,0,1,0,0,0,0
0,13,5,3,0,0,0,0
1,9,9,2,1,1,0,1
1,1,0,3,1,0,0,1
0,3,5,3,0,0,0,0
0,2,3,3,0,0,0,0
0,9,3,3,0,0,0,0
1,14,13,1,1,0,1,1
1,5,10,2,1,0,1,0
0,10,3,3,0,0,0,0
0,3,6,3,1,0,0,0
0,9,6,2,0,0,0,0
0,5,0,3,0,0,0,0
0,12,10,3,1,0,5,2
0,5,7,2,0,0,0,0
1,2,11,1,1,0,0,0
0,9,9,3,1,1,2,0
1,5,11,1,0,0,0,1
0,10,2,3,0,0,0,2
